datetime,x,y,z,gyrx,gyry,gyrz,magx,magy,magz,annotation,a,b
38.6,0.502685547,0.398925781,0.946289063,0.0,-1.510620117,45.12023926,-27.88864469,-14.39413919,-58.17631258,0,,
38.6,1.165039063,0.169189453,0.732177734,0.0,-45.70007324,26.97753906,-27.88864469,-14.39413919,-58.17631258,0,,
38.6,1.375488281,0.064453125,0.565185547,0.0,-45.83740234,12.39013672,-20.69157509,-16.19340659,-56.67692308,0,,
38.7,1.515380859,0.027832031,0.374267578,0.0,-31.05163574,5.996704102,-20.69157509,-16.19340659,-56.67692308,0,,
38.7,1.569824219,-0.022705078,0.203125,0.0,-29.06799316,0.030517578,-20.69157509,-16.19340659,-56.67692308,0,,
38.7,1.573242188,-0.035888672,0.219238281,3.90625,-25.71105957,-4.669189453,-20.69157509,-16.19340659,-56.67692308,0,,
38.7,1.491455078,0.014892578,0.362060547,0.0,-2.27355957,-5.37109375,-20.69157509,-16.19340659,-56.67692308,0,,
38.7,1.295898438,0.164306641,0.351806641,0.0,24.50561523,-8.087158203,-20.69157509,-16.19340659,-56.67692308,0,,
38.7,1.203125,0.263916016,0.310546875,0.0,31.25,-5.554199219,-20.69157509,-16.19340659,-56.67692308,0,,
38.7,1.054931641,0.390625,0.292236328,0.0,39.18457031,2.243041992,-20.69157509,-16.19340659,-56.67692308,0,,
38.7,0.916259766,0.396728516,0.323974609,0.0,38.48266602,3.433227539,-20.69157509,-16.19340659,-56.67692308,0,,
38.8,0.767333984,0.340576172,0.393066406,0.0,29.75463867,1.937866211,-20.69157509,-16.19340659,-56.67692308,0,,
38.8,0.586181641,0.049804688,0.463134766,0.0,10.40649414,3.494262695,-14.99389499,-15.59365079,-56.97680098,0,,
38.8,0.544189453,-0.148925781,0.430419922,0.0,-2.258300781,11.52038574,-14.99389499,-15.59365079,-56.97680098,0,,
38.8,0.499267578,-0.4453125,0.403564453,0.0,-8.95690918,18.02062988,-14.99389499,-15.59365079,-56.97680098,0,,
38.8,0.488525391,-0.605712891,0.401855469,0.0,-12.05444336,22.3236084,-14.99389499,-15.59365079,-56.97680098,0,,
